Fréquence (Hz)	Niveau (dB)
10207,031250	-95,064903
10218,750000	-95,295319
10230,468750	-95,258308
10242,187500	-95,139160
10253,906250	-95,327080
10265,625000	-95,060692
10277,343750	-95,319611
10289,062500	-94,896469
10300,781250	-94,899635
10312,500000	-95,478813
10324,218750	-95,492210
10335,937500	-95,207184
10347,656250	-95,436241
10359,375000	-95,998711
10371,093750	-96,146179
10382,812500	-95,963081
10394,531250	-95,941689
10406,250000	-96,159294
10417,968750	-95,917152
10429,687500	-95,630775
10441,406250	-95,809433
10453,125000	-96,012268
10464,843750	-96,199440
10476,562500	-95,845779
10488,281250	-95,907951
10500,000000	-96,321884
10511,718750	-96,110703
10523,437500	-95,365211
10535,156250	-95,455360
10546,875000	-95,555374
10558,593750	-96,077934
10570,312500	-95,651749
10582,031250	-96,019730
10593,750000	-96,334618
10605,468750	-96,062569
10617,187500	-96,287735
10628,906250	-96,494072
10640,625000	-96,711662
10652,343750	-96,698242
10664,062500	-96,632484
10675,781250	-96,485893
10687,500000	-96,206757
10699,218750	-96,596848
10710,937500	-96,668434
10722,656250	-96,927589
10734,375000	-96,657997
10746,093750	-96,712593
10757,812500	-96,897285
10769,531250	-96,739067
10781,250000	-96,790398
10792,968750	-96,711060
10804,687500	-96,643257
10816,406250	-96,835846
10828,125000	-97,128639
10839,843750	-97,858871
10851,562500	-98,314934
10863,281250	-99,211655
10875,000000	-101,657883
10886,718750	-104,711708
10898,437500	-106,786491
10910,156250	-107,039948
10921,875000	-107,311356
10933,593750	-107,707344
10945,312500	-107,874977
10957,031250	-108,118393
10968,750000	-108,159721
10980,468750	-108,276718
10992,187500	-108,317642
11003,906250	-108,274216
11015,625000	-108,339981
11027,343750	-108,311661
11039,062500	-108,330788
11050,781250	-108,330315
11062,500000	-108,328957
11074,218750	-108,333710
11085,937500	-108,337791
11097,656250	-108,332771
11109,375000	-108,339867
11121,093750	-108,341965
11132,812500	-108,337242
11144,531250	-108,344269
11156,250000	-108,344337
11167,968750	-108,347412
11179,687500	-108,345963
11191,406250	-108,348564
11203,125000	-108,349724
11214,843750	-108,350075
11226,562500	-108,353859
11238,281250	-108,353622
11250,000000	-108,355530
11261,718750	-108,356865
11273,437500	-108,357597
11285,156250	-108,359421
11296,875000	-108,361855
11308,593750	-108,356232
11320,312500	-108,366165
11332,031250	-108,363724
11343,750000	-108,365967
11355,468750	-108,362350
11367,187500	-108,378204
11378,906250	-108,361412
11390,625000	-108,369644
11402,343750	-108,371063
11414,062500	-108,390915
11425,781250	-108,289261
11437,500000	-108,429527
11449,218750	-108,372215
11460,937500	-108,374054
11472,656250	-108,377800
11484,375000	-108,378311
11496,093750	-108,381317
11507,812500	-108,377419
11519,531250	-108,380127
11531,250000	-108,379372
11542,968750	-108,384674
11554,687500	-108,381302
11566,406250	-108,386421
11578,125000	-108,382957
11589,843750	-108,386703
11601,562500	-108,384583
11613,281250	-108,385010
11625,000000	-108,388100
11636,718750	-108,386391
11648,437500	-108,388130
11660,156250	-108,389435
11671,875000	-108,388977
11683,593750	-108,390518
11695,312500	-108,390129
11707,031250	-108,394508
11718,750000	-108,388969
11730,468750	-108,393608
11742,187500	-108,373070
11753,906250	-108,412697
11765,625000	-108,393845
11777,343750	-108,393600
11789,062500	-108,395485
11800,781250	-108,388763
11812,500000	-108,465401
11824,218750	-108,290810
11835,937500	-108,418465
11847,656250	-108,396378
11859,375000	-108,395538
11871,093750	-108,394730
11882,812500	-108,397606
11894,531250	-108,395073
11906,250000	-108,396591
11917,968750	-108,397095
11929,687500	-108,393799
11941,406250	-108,398827
11953,125000	-108,396088
11964,843750	-108,396790
11976,562500	-108,397331
11988,281250	-108,396339
